Codigo,Nombre,Stock
"000000000000","BOQUILLA CORNETA H1 MESETA ANCHA DORADA HONSUY","0"
"0001","DISFRUTA Y APRENDE TOCANDO. TROMBÓN Y PIANO VOL 1","0"
"0001201N","ATRIL RABO CORTO OBRAC 1201","1"
"0001202N","ATRIL RABO LARGO OBRAC 1202","1"
"0001203N","ATRIL TROMPETA CURVA OBRAC 1203 NIQUEL","1"
"0001204N","ATRIL SAXOFÓN CORTO 1204","1"
"0001205N","ATRIL MARCHA SAXO TENOR-ALTO LARGO","1"
"0001206N","ATRIL CLARINETE (SOLO LIRA)","1"
"0001207N","ATRIL DULZAINA MARCHA OBRAC","1"
"0001208N","ATRIL MARCHA FAGOT OBRAC","1"
"0001209N","ATRIL FAGOT MARCHA OBRAC AL CUELLO","1"
"0001210N","ATRIL CLARINETE C/ARGOLLA OBRAC 1210 NIQUEL","1"
"0001211N","ATRIL MARCHA REQUINTO OBRAC CON ARGOLLA","1"
"0001213N","ATRIL OBOE TIPO BISAGRA OBRAC 1213 NIQUEL","1"
"0001214N","ATRIL DE MARCHA FLAUTA TRAVESERA CON CORREA","1"
"0001216N","ATRIL TROMPETA PINZA OBRAC 1216","1"
"0001217N","ATRIL TROMBÓN DE VARAS OBRAC 1217","1"
"0001218N","ATRIL TROMBÓN PINZA OBRAC1218","1"
"0001225N","ATRIL PARA CAJA DE CALLE OBRAC 1225N","1"
"0001233N","ATRIL CORNETA OBRAC ARGOLLA BISAGRA","1"
"0001235N","ATRIL TROMPETA CORTO MARCHA OBRAC","1"
"0001236N","ATRIL TROMPETA PORTA ATRIL BISAGRA","0"
"0001237G","ATRIL MARCHA 20CM FLEXIBLE 1237","1"
"0001239N","ATRIL TROMBÓN PINZA ANCHA CAMPANA","1"
"0001240N","ATRIL DE TROMPETA CAMPANA PINZA ANCHA","0"
"0001243G","ATRIL DE MARCHA FLEXIBLE 25CM","1"
"0001245n","ATRIL TROMPETA CORTO CON PORTA ATRIL","0"
"0001281N","ATRIL MARCHA RABO LARGO TUBA ENGANCHE GRANDE","1"
"0001286N","ATRIL TROMBON PINZA","0"
"0001288G","ATRIL PINZA GRANDE FLEXIBLE 20 cm","1"
"0001289G","ATRIL DE MARCHA FLEXIBLE LIRA GRANDE","1"
"0001301N","ARGOLLA CLARINETE OBRAC 1301","1"
"0001302N","ARGOLLA REQUINTO OBRAC 1302","0"
"0001404N","PORTA ATRIL TROMPETA ARGOLLA OBRAC","1"
"0001407N","ARGOLLA PORTA ATRIL TOMBÓN VARAS","1"
"0001408N","ARGOLLA PORTA ATRIL TROMBÓN VARAS 19 mm","1"
"0001410N","ARGOLLA PORTA ATRIL TROMBÓN VARAS 22mm OBRAC","1"
"0001506A","MUELLE DE DESAGÜE TROMPETA OBRAC","1"
"0002","DISFRUTA Y APRENDE TOCANDO. TROMBÓN Y PIANO VOL 1","0"
"0002005L","GANCHO COLGAR CORNETA DORADO OBRAC","1"
"0002005N","GANCHO COLGAR CORNETA PLATEADA OBRAC","1"
"0011217N","ATRIL TROMBÓN VARAS ESTUDIO 14mm OBRAC 11217N","1"
"001286N","ATRIL EXTRA TROMBÓN PINZA CAMPANA","0"
"0021219N","ATRIL TROMBÓN VARAS MARCHA OBRAC YAMAHA","1"
"00224","PUENTE Y CEJUELA GUIT.CLÁSICA HUESO","1"
"0035","EL PIANO. PREPARATORIO. TCHOKOV-GEMIU","1"
"0041219N","ATRL TROMBÓN VARAS BISAGRA 20mm OBRAC 0041219N","1"
"0048","BLOC PENTAGRAMA APAISADO PEQUEÑO","1"
"0051219N","ATRIL TROMBÓN BISAGRA OBRAC 1219 (BACH) NIQUEL","1"
"0061219N","ATRIL TROMBÓN VARAS BISAGRA 22mm OBRAC 61219N","1"
"0068","EL VIOLÍN 1.TEÓRICO Y PRÁCTICO.MATHIEU CRICKBOOM","1"
"008576110260","CAJA 5 CAÑAS 3 CLAR.BAJO.VANDOREN CAJA AZUL","1"
"008576110703","CAÑA CLARINETE 2 1/2 56 RUE LE PIC","0"
"008576110727","CAÑA CLARINETE 3 1/2 56 RUE LE PIC","0"
"008576114015","CAÑA CLARINETE VANDOREN 1 1/2 CAJA AZUL","1"
"008576114022","CAÑA CLARINETE VANDOREN 2 CAJA AZUL","1"
"008576114039","CAÑA CLARINETE VANDOREN 2 1/2 CAJA AZUL","1"
"008576114046","CAÑA CLARINETE VANDOREN 3 CAJA AZUL","1"
"008576114053","CAÑA CLARINETE VANDOREN 3 1/2 CAJA AZUL","1"
"008576114060","CAÑA CLARINETE VANDOREN 4 CAJA AZUL","1"
"008576114244","CAÑA CLARINETE VANDOREN V12 2 1/2","1"
"008576114251","CAÑA CLARINETE VANDOREN V12 3","1"
"008576114268","CAÑA CLARINETE VANDOREN V12 3 1/2","1"
"008576114329","CAÑA CLARINETE 3 56 RUE LE PIC","0"
"008576114404","CAÑA REQUINTO VANDOREN 2 CAJA AZUL","1"
"008576114411","CAÑA REQUINTO VANDOREN 2 1/2 CAJA AZUL","1"
"008576114428","CAÑA REQUINTO VANDOREN 3","1"
"008576114435","CAÑA REQUINTO VANDOREN 3 1/2","0"
"008576114565","CAÑA CLARINETE BAJO VANDOREN 3 CAJA AZUL","1"
"008576114947","CAÑA CLARINETE VANDOREN V21 2 1/2","0"
"008576114954","CAÑA CLARINETE VANDOREN V21 3","1"
"008576114961","CAÑA CLARINETE VANDOREN V21 3 1/2","0"
"008576120207","CAÑA SAXO TENOR VANDOREN 3 1/2 CAJA AZUL","0"
"008576120269","CAJA 5 CAÑAS 2 SAXO BARÍTONO VANDOREN","1"
"008576120528","CAJA 10 CAÑAS SAXO ALTO VANDOREN V-12 3 CAJA GRIS","0"
"008576124007","CAÑA SAXO ALTO VANDOREN 1 CAJA AZUL","1"
"008576124014","CAÑA SAXO ALTO VANDOREN 1 1/2 CAJA AZUL","1"
"008576124021","CAÑA SAXO ALTO VANDOREN 2 CAJA AZUL","1"
"008576124038","CAÑA SAXO ALTO VANDOREN 2 1/2 CAJA AZUL","1"
"008576124045","CAÑA SAXO ALTO VANDOREN 3 CAJA AZUL","1"
"008576124052","CAÑA SAXO ALTO VANDOREN 3 1/2 CAJA AZUL","1"
"008576124069","CAÑA SAXO ALTO VANDOREN 4 CAJA AZUL","1"
